,ilce,m2,isitma,site,kat,oda,yas,banyosayisi,esyali,price
8,pendik,95,Kombi Doğalgaz,Hayır,1,2+1,0.0,1,Boş,293000.0
9,pendik,155,Kombi Doğalgaz,Hayır,Çatı Dubleks,3+2,1.0,2,Boş,375000.0
10,pendik,97,Kombi Doğalgaz,Hayır,4,2+1,0.0,1,Boş,335000.0
11,pendik,100,Kombi Doğalgaz,Hayır,2,2+1,7.5,1,Boş,287000.0
12,pendik,120,Kombi Doğalgaz,Hayır,1,3+1,7.5,1,Boş,310000.0
13,pendik,125,Kombi Doğalgaz,Hayır,2,3+1,3.0,1,Boş,395000.0
14,pendik,100,Kombi Doğalgaz,Hayır,2,2+1,7.5,2,Boş,345000.0
15,pendik,110,Kombi Doğalgaz,Hayır,Yüksek giriş,2+1,15.5,1,Boş,179000.0
16,pendik,78,Merkezi (Pay Ölçer),Hayır,7,1+1,0.0,1,Boş,265000.0
17,pendik,95,Kombi Doğalgaz,Hayır,Yüksek giriş,2+1,15.5,1,Boş,250000.0
18,pendik,110,Kombi Doğalgaz,Hayır,Düz giriş,2+1,7.5,1,Boş,262500.0
19,pendik,110,Kombi Doğalgaz,Hayır,5,2+1,3.0,1,Boş,305000.0
20,pendik,110,Kombi Doğalgaz,Hayır,9,3+1,15.5,1,Boş,317000.0
21,pendik,90,Merkezi (Pay Ölçer),Hayır,8,2+1,15.5,1,Boş,250000.0
22,pendik,70,Merkezi (Pay Ölçer),Hayır,Bahçe katı,1+1,7.5,1,Boş,183000.0
23,pendik,95,Merkezi (Pay Ölçer),Hayır,6,2+1,0.0,2,Boş,455000.0
24,pendik,150,Merkezi (Pay Ölçer),Hayır,6,3+1,0.0,2,Boş,579000.0
25,pendik,125,Kombi Doğalgaz,Hayır,7,3+1,15.5,1,Boş,342000.0
26,pendik,100,Kombi Doğalgaz,Hayır,5,2+1,0.0,1,Boş,350000.0
27,pendik,100,Kombi Doğalgaz,Hayır,2,2+1,2.0,1,Boş,345000.0
28,pendik,145,Merkezi (Pay Ölçer),Hayır,4,3+1,0.0,2,Boş,560000.0
29,pendik,70,Merkezi (Pay Ölçer),Hayır,3,1+1,4.0,1,Boş,275000.0
30,pendik,68,Yerden ısıtma,Hayır,3,1+1,0.0,1,Boş,250000.0
31,pendik,100,Kombi Doğalgaz,Hayır,4,2+1,0.0,1,Boş,365000.0
32,pendik,100,Kombi Doğalgaz,Hayır,2,2+1,2.0,1,Boş,345000.0
33,pendik,110,Kombi Doğalgaz,Hayır,4,2+1,4.0,2,Boş,330000.0
34,pendik,105,Kombi Doğalgaz,Hayır,Yüksek giriş,2+1,7.5,1,Boş,250000.0
35,pendik,100,Kombi Doğalgaz,Hayır,2,2+1,7.5,1,Boş,287000.0
36,pendik,110,Kombi Doğalgaz,Hayır,Düz giriş,2+1,7.5,1,Boş,262500.0
37,pendik,90,Kombi Doğalgaz,Hayır,5,2+1,15.5,1,Boş,250000.0
38,pendik,125,Kombi Doğalgaz,Hayır,3,3+1,4.0,1,Boş,389000.0
39,pendik,140,Kombi Doğalgaz,Hayır,4,3+1,7.5,2,Boş,475000.0
40,pendik,95,Kombi Doğalgaz,Hayır,Düz giriş,2+1,7.5,1,Boş,209000.0
41,pendik,95,Kombi Doğalgaz,Hayır,2,2+1,7.5,1,Boş,358000.0
42,pendik,140,Kombi Doğalgaz,Hayır,4,3+1,7.5,2,Boş,475000.0
43,pendik,95,Kombi Doğalgaz,Hayır,4,2+1,7.5,1,Boş,370000.0
44,pendik,95,Kombi Doğalgaz,Hayır,2,2+1,2.0,1,Boş,320000.0
45,pendik,85,Kombi Doğalgaz,Hayır,6,2+1,1.0,1,Boş,290000.0
46,pendik,110,Kombi Doğalgaz,Hayır,5,3+1,15.5,1,Boş,350000.0
47,pendik,90,Kombi Doğalgaz,Hayır,Yüksek giriş,2+1,0.0,1,Boş,280000.0
48,pendik,95,Kombi Doğalgaz,Hayır,4,2+1,7.5,1,Boş,
49,pendik,71,Kombi Doğalgaz,Hayır,4,1+1,3.0,1,Boş,340000.0
50,pendik,240,Kombi Doğalgaz,Hayır,Düz giriş,3+2,0.0,2,Boş,1300000.0
51,pendik,55,Merkezi (Pay Ölçer),Hayır,3,1+1,3.0,1,Eşyalı,280000.0
52,pendik,110,Kombi Doğalgaz,Hayır,1,2+1,0.0,1,Boş,400000.0
53,pendik,110,Kombi Doğalgaz,Hayır,7,2+1,0.0,2,Boş,420000.0
54,pendik,95,Merkezi (Pay Ölçer),Hayır,8,2+1,15.5,1,Boş,270000.0
55,pendik,85,Kombi Doğalgaz,Hayır,2,2+1,7.5,1,Boş,310000.0
56,pendik,95,Kombi Doğalgaz,Hayır,6,2+1,3.0,1,Boş,319000.0
57,pendik,180,Kombi Doğalgaz,Hayır,Çatı Dubleks,3+2,0.0,2,Boş,385000.0
58,pendik,120,Merkezi (Pay Ölçer),Hayır,1,3+1,4.0,1,Boş,399000.0
59,pendik,60,Kombi Doğalgaz,Hayır,4,1+1,0.0,1,Boş,210000.0
0,sariyer,240.0,Kat Kaloriferi,Hayır,Villa tipi,4+1,2.0,2.0,Boş,5950000
1,sariyer,520.0,Kombi Doğalgaz,Hayır,Villa tipi,5+2,15.5,5.0,Boş,8000000
2,sariyer,120.0,Kombi Doğalgaz,Hayır,Müstakil,2+1,7.5,1.0,Boş,2750000
3,sariyer,340.0,Kombi Doğalgaz,Hayır,Villa tipi,4+1,20.0,4.0,Boş,7000000
4,sariyer,530.0,Kombi Doğalgaz,Hayır,Düz giriş,5+2,15.5,5.0,Boş,8000000
5,sariyer,110.0,Kombi Doğalgaz,Hayır,Müstakil,3+1,20.0,1.0,Belirtilmemiş,7000000
6,sariyer,500.0,Kombi Doğalgaz,Hayır,Villa tipi,5+1,20.0,3.0,Boş,110000000
7,sariyer,98.0,Merkezi (Pay Ölçer),Hayır,17,1,3.0,1.0,Boş,1400000
8,sariyer,183.0,Yerden ısıtma,Hayır,15,3+1,0.0,3.0,Boş,3640000
9,sariyer,138.0,Merkezi (Pay Ölçer),Hayır,22,2+1,4.0,2.0,Boş,1890000
10,sariyer,120.0,Merkezi (Pay Ölçer),Hayır,25,1,4.0,2.0,Boş,1500000
11,sariyer,98.0,Merkezi (Pay Ölçer),Hayır,5,1,4.0,1.0,Boş,1200000
12,sariyer,100.0,Merkezi (Pay Ölçer),Hayır,Bahçe katı,1+1,0.0,1.0,Belirtilmemiş,1430000
13,sariyer,100.0,Merkezi (Pay Ölçer),Hayır,Bahçe katı,1,0.0,1.0,Boş,1430000
14,sariyer,120.0,Merkezi (Pay Ölçer),Hayır,10,2+1,4.0,1.0,Belirtilmemiş,2050000
15,sariyer,138.0,Merkezi (Pay Ölçer),Hayır,22,2+1,4.0,2.0,Boş,1890000
16,sariyer,120.0,Merkezi (Pay Ölçer),Hayır,27,1,4.0,2.0,Boş,1500000
17,sariyer,200.0,Kombi Doğalgaz,Hayır,1,3+2,20.0,2.0,Boş,7500000
18,sariyer,750.0,Kombi Doğalgaz,Hayır,Müstakil,7+2,15.5,,Boş,13000000
19,sariyer,750.0,Kombi Doğalgaz,Hayır,Müstakil,4+2,20.0,4.0,Boş,115000000
20,sariyer,750.0,Kombi Doğalgaz,Hayır,Müstakil,8+,20.0,,Boş,22000000
21,sariyer,,Kombi Doğalgaz,Hayır,Müstakil,8+,15.5,,Boş,71000000
22,sariyer,,Kat Kaloriferi,Hayır,Müstakil,8+,15.5,,Boş,65000000
23,sariyer,450.0,Kombi Doğalgaz,Hayır,1,7+2,20.0,4.0,Boş,27500000
24,sariyer,350.0,Merkezi Doğalgaz,Hayır,Düz giriş,4+1,0.0,3.0,Boş,3800000
25,sariyer,600.0,Kombi Doğalgaz,Hayır,3,4+2,20.0,4.0,Boş,48500000
26,sariyer,400.0,Kombi Doğalgaz,Hayır,Müstakil,4+1,15.5,4.0,Boş,55000000
27,sariyer,900.0,Kombi Doğalgaz,Hayır,Müstakil,8+,15.5,,Boş,68000000
28,sariyer,118.0,Kombi Doğalgaz,Evet,2,3+1,15.5,1.0,Boş,810000
29,sariyer,110.0,Kombi Doğalgaz,Hayır,Yüksek giriş,2+1,15.5,1.0,Boş,550000
30,sariyer,194.0,Merkezi (Pay Ölçer),Hayır,12,3+1,0.0,2.0,Boş,3900000
31,sariyer,150.0,Kombi Doğalgaz,Hayır,Düz giriş,2+1,15.5,1.0,Boş,1700000
32,sariyer,75.0,Kombi Doğalgaz,Hayır,1,1+1,20.0,1.0,Boş,400000
33,sariyer,90.0,Kombi Doğalgaz,Hayır,3,2+1,20.0,1.0,Boş,570000
34,sariyer,90.0,Kombi Doğalgaz,Hayır,Düz giriş,2+1,20.0,1.0,Boş,620000
35,sariyer,215.0,Kombi Doğalgaz,Hayır,Müstakil,5+1,0.0,2.0,Boş,2950000
36,sariyer,180.0,Kombi Doğalgaz,Hayır,3,3+1,15.5,2.0,Boş,1500000
37,sariyer,285.0,Kombi Doğalgaz,Hayır,Bahçe katı,4+1,15.5,3.0,Belirtilmemiş,1950000
38,sariyer,580.0,Kombi Doğalgaz,Hayır,Düz giriş,5+3,15.5,4.0,Boş,7000000
39,sariyer,170.0,Kombi Doğalgaz,Hayır,Bahçe katı,4+1,7.5,3.0,Belirtilmemiş,1800000
40,sariyer,250.0,Kombi Doğalgaz,Hayır,2,4+1,7.5,3.0,Belirtilmemiş,2400000
41,sariyer,180.0,Kombi Doğalgaz,Hayır,3,4+1,15.5,2.0,Belirtilmemiş,2250000
42,sariyer,250.0,Kombi Doğalgaz,Hayır,4,5+1,7.5,2.0,Belirtilmemiş,1800000
43,sariyer,95.0,Merkezi (Pay Ölçer),Hayır,8,1+1,0.0,1.0,Belirtilmemiş,950000
44,sariyer,236.0,Merkezi (Pay Ölçer),Hayır,21,3+1,4.0,2.0,Belirtilmemiş,2750000
45,sariyer,350.0,Merkezi (Pay Ölçer),Hayır,21,4+1,4.0,3.0,Belirtilmemiş,5000000
46,sariyer,150.0,Merkezi (Pay Ölçer),Hayır,10,1+1,4.0,1.0,Belirtilmemiş,1400000
47,sariyer,300.0,Merkezi (Pay Ölçer),Hayır,21,3+1,4.0,2.0,Belirtilmemiş,3550000
48,sariyer,183.0,Merkezi (Pay Ölçer),Hayır,16,3+1,0.0,3.0,Belirtilmemiş,3650000
49,sariyer,212.0,Merkezi (Pay Ölçer),Hayır,8,3+1,0.0,2.0,Belirtilmemiş,4450000
50,sariyer,116.0,Merkezi Doğalgaz,Hayır,11,2+1,2.0,2.0,Belirtilmemiş,1950000
51,sariyer,360.0,Merkezi (Pay Ölçer),Hayır,10,4+2,0.0,4.0,Belirtilmemiş,5400000
52,sariyer,96.0,Merkezi (Pay Ölçer),Hayır,2,1+1,0.0,1.0,Belirtilmemiş,1250000
53,sariyer,165.0,Merkezi Doğalgaz,Hayır,12,2+1,2.0,2.0,Belirtilmemiş,2700000
54,sariyer,60.0,Merkezi Doğalgaz,Hayır,21,Stüdyo,3.0,1.0,Belirtilmemiş,790000
55,sariyer,240.0,Merkezi (Pay Ölçer),Hayır,10,3+1,4.0,2.0,Belirtilmemiş,975000
56,sariyer,510.0,Kombi Doğalgaz,Hayır,Düz giriş,8+,15.5,5.0,Boş,8000000
57,sariyer,800.0,Merkezi (Pay Ölçer),Hayır,Düz giriş,8+,15.5,,Boş,4250000
58,sariyer,,Kombi Doğalgaz,Hayır,Villa tipi,8+,20.0,5.0,Boş,19000000
59,sariyer,650.0,Kombi Doğalgaz,Hayır,Düz giriş,5+2,7.5,3.0,Boş,35000000
0,sisli,65.0,Kombi Doğalgaz,Hayır,1,1+1,1.0,1.0,Eşyalı,290000
1,sisli,160.0,Kombi Doğalgaz,Hayır,5,3+1,15.5,1.0,Boş,1490000
2,sisli,90.0,Kombi Doğalgaz,Hayır,Çatı Katı,2+1,15.5,1.0,Belirtilmemiş,400000
3,sisli,140.0,Kombi Doğalgaz,Hayır,3,3+1,15.5,1.0,Boş,1150000
4,sisli,152.0,Kombi Doğalgaz,Hayır,2,3+1,20.0,2.0,Belirtilmemiş,790000
5,sisli,85.0,Kombi Doğalgaz,Hayır,1,2+1,0.0,1.0,Boş,510000
6,sisli,60.0,Kombi Doğalgaz,Hayır,1,1+1,0.0,1.0,Boş,360000
7,sisli,85.0,Kombi Doğalgaz,Hayır,2,2+1,0.0,1.0,Boş,510000
8,sisli,75.0,Kombi Doğalgaz,Hayır,1,2+1,1.0,1.0,Eşyalı,349000
9,sisli,80.0,Kombi Doğalgaz,Hayır,2,2+1,1.0,1.0,Eşyalı,349000
10,sisli,60.0,Kombi Doğalgaz,Hayır,2,1+1,1.0,1.0,Boş,360000
11,sisli,90.0,Kombi Doğalgaz,Hayır,2,2+1,0.0,1.0,Belirtilmemiş,510000
12,sisli,85.0,Kombi Doğalgaz,Hayır,3,2+1,1.0,1.0,Boş,387000
13,sisli,80.0,Kombi Doğalgaz,Hayır,2,2+1,1.0,1.0,Belirtilmemiş,349000
14,sisli,75.0,Kombi Doğalgaz,Hayır,1,2+1,1.0,1.0,Eşyalı,349000
15,sisli,85.0,Kombi Doğalgaz,Hayır,4,2+1,1.0,1.0,Boş,387000
16,sisli,130.0,Merkezi Doğalgaz,Hayır,2,3+1,20.0,1.0,Boş,1000000
17,sisli,95.0,Merkezi Doğalgaz,Hayır,1,2+1,20.0,1.0,Eşyalı,690000
18,sisli,240.0,Merkezi (Pay Ölçer),Hayır,20-30,3+1,7.5,2.0,Boş,8000000
19,sisli,85.0,Kombi Doğalgaz,Hayır,Kot 2,2+1,20.0,1.0,Boş,250000
20,sisli,95.0,Kombi Doğalgaz,Hayır,3,2+1,0.0,1.0,Boş,360000
21,sisli,95.0,Kombi Doğalgaz,Hayır,Düz giriş,2+1,15.5,1.0,Belirtilmemiş,240000
22,sisli,135.0,Kombi Doğalgaz,Hayır,5,3+1,15.5,1.0,Boş,485000
23,sisli,95.0,Kombi Doğalgaz,Hayır,9,2+1,15.5,1.0,Boş,315000
24,sisli,95.0,Kombi Doğalgaz,Hayır,2,2+1,15.5,1.0,Belirtilmemiş,310000
25,sisli,95.0,Kombi Doğalgaz,Hayır,2,2+1,2.0,1.0,Boş,385000
26,sisli,180.0,Kombi Doğalgaz,Hayır,Çatı Katı,4+1,15.5,2.0,Boş,1750000
27,sisli,100.0,Kombi Doğalgaz,Hayır,4,2+1,15.5,1.0,Boş,425000
28,sisli,152.0,Kombi Doğalgaz,Hayır,2,3+1,20.0,2.0,Boş,790000
29,sisli,85.0,Kombi Doğalgaz,Hayır,11,2+1,3.0,1.0,Boş,425000
30,sisli,147.0,Kombi Doğalgaz,Hayır,Bahçe katı,3+1,7.5,2.0,Belirtilmemiş,3380000
31,sisli,146.0,Merkezi (Pay Ölçer),Hayır,8,2+1,3.0,1.0,Belirtilmemiş,3450000
32,sisli,,Kombi Doğalgaz,Hayır,Düz giriş,8+,4.0,,Belirtilmemiş,3650000
33,sisli,150.0,Kombi Doğalgaz,Hayır,4,3+2,7.5,1.0,Boş,430000
34,sisli,63.0,Kombi Doğalgaz,Hayır,2,1+1,0.0,1.0,Boş,360000
35,sisli,65.0,Kombi Doğalgaz,Hayır,1,1+1,0.0,1.0,Boş,360000
36,sisli,77.0,Kombi Doğalgaz,Hayır,2,2+1,1.0,1.0,Eşyalı,365000
37,sisli,78.0,Kombi Doğalgaz,Hayır,2,2+1,4.0,1.0,Boş,300000
38,sisli,70.0,Kombi Doğalgaz,Hayır,Kot 1,2+1,0.0,1.0,Boş,255000
39,sisli,50.0,Kombi Doğalgaz,Hayır,4,1+1,0.0,1.0,Eşyalı,275000
40,sisli,80.0,Kombi Doğalgaz,Hayır,1,2+1,2.0,1.0,Eşyalı,349000
41,sisli,55.0,Kombi Doğalgaz,Hayır,1,1+1,0.0,1.0,Boş,360000
42,sisli,110.0,Kombi Doğalgaz,Hayır,4,2+2,1.0,1.0,Boş,365000
43,sisli,120.0,Kombi Doğalgaz,Hayır,1,2+1,20.0,1.0,Boş,410000
44,sisli,60.0,Kombi Doğalgaz,Hayır,Düz giriş,1+1,3.0,1.0,Boş,240000
45,sisli,90.0,Kombi Doğalgaz,Hayır,3,2+1,0.0,1.0,Boş,385000
46,sisli,125.0,Kombi Doğalgaz,Hayır,4,2+1,0.0,1.0,Boş,1700000
47,sisli,70.0,Kombi Doğalgaz,Hayır,1,2+1,2.0,1.0,Eşyalı,275000
48,sisli,125.0,Kombi Doğalgaz,Hayır,4,2+1,0.0,2.0,Boş,1780000
49,sisli,105.0,Kombi Doğalgaz,Hayır,4,2+2,2.0,2.0,Boş,370000
50,sisli,75.0,Kombi Doğalgaz,Hayır,7,2+1,1.0,1.0,Boş,340000
51,sisli,50.0,Kombi Doğalgaz,Hayır,4,1+1,1.0,1.0,Eşyalı,275000
52,sisli,95.0,Kombi Doğalgaz,Hayır,4,2+1,7.5,1.0,Boş,310000
53,sisli,88.0,Kombi Doğalgaz,Hayır,2,2+1,0.0,1.0,Boş,365000
54,sisli,60.0,Kombi Doğalgaz,Hayır,Bahçe katı,1+1,15.5,1.0,Boş,154000
55,sisli,100.0,Kombi Doğalgaz,Hayır,2,3+1,0.0,1.0,Boş,435000
56,sisli,110.0,Kombi Doğalgaz,Hayır,4,2+2,1.0,1.0,Boş,365000
57,sisli,70.0,Kombi Doğalgaz,Hayır,2,3+1,1.0,1.0,Eşyalı,285000
58,sisli,50.0,Kombi Doğalgaz,Hayır,4,1+1,2.0,1.0,Boş,210000
59,sisli,85.0,Kombi Doğalgaz,Hayır,Kot 2,3+1,4.0,1.0,Boş,260000
0,tuzla,195,Kombi Doğalgaz,Hayır,5,4+1,0.0,2.0,Belirtilmemiş,600000
1,tuzla,132,Merkezi (Pay Ölçer),Hayır,7,3+1,7.5,2.0,Boş,384000
2,tuzla,380,Kombi Doğalgaz,Hayır,Villa tipi,6+1,20.0,3.0,Belirtilmemiş,2450000
3,tuzla,200,Kombi Doğalgaz,Hayır,4,3+1,7.5,2.0,Boş,1350000
4,tuzla,550,Kombi Doğalgaz,Hayır,Düz giriş,6+1,15.5,,Boş,4500000
5,tuzla,100,Kombi Doğalgaz,Hayır,2,2+1,7.5,1.0,Boş,350000
6,tuzla,480,Kombi Doğalgaz,Hayır,Düz giriş,5+1,15.5,,Boş,3000000
7,tuzla,135,Merkezi (Pay Ölçer),Hayır,3,3+1,0.0,2.0,Boş,570000
8,tuzla,90,Kombi Doğalgaz,Hayır,4,2+1,0.0,1.0,Boş,370000
9,tuzla,380,Kombi Doğalgaz,Hayır,4,6+1,20.0,3.0,Belirtilmemiş,2450000
10,tuzla,100,Kombi Doğalgaz,Evet,Yüksek giriş,2+1,15.5,1.0,Belirtilmemiş,290000
11,tuzla,115,Merkezi Doğalgaz,Evet,1,2+1,4.0,1.0,Belirtilmemiş,520000
12,tuzla,75,Kombi Doğalgaz,Hayır,2,2+1,7.5,1.0,Boş,209000
13,tuzla,115,Merkezi Doğalgaz,Hayır,3,2+1,7.5,2.0,Boş,450000
14,tuzla,60,Kombi Doğalgaz,Hayır,4,1+1,4.0,1.0,Eşyalı,210000
15,tuzla,40,Kombi Doğalgaz,Hayır,11,Stüdyo,7.5,1.0,Boş,119000
16,tuzla,90,Merkezi (Pay Ölçer),Hayır,2,2+1,7.5,1.0,Boş,270000
17,tuzla,57,Merkezi (Pay Ölçer),Hayır,Bahçe katı,1+1,0.0,2.0,Boş,290000
18,tuzla,101,Kombi Doğalgaz,Evet,5,2+1,2.0,1.0,Boş,305000
19,tuzla,115,Kombi Doğalgaz,Hayır,9,2+1,15.5,2.0,Boş,225000
20,tuzla,180,Kombi Doğalgaz,Hayır,4,3+2,2.0,5.0,Boş,355000
21,tuzla,250,Kombi Doğalgaz,Hayır,Villa tipi,5+1,15.5,3.0,Belirtilmemiş,3500000
22,tuzla,145,Merkezi (Pay Ölçer),Hayır,4,3+1,0.0,2.0,Boş,430000
23,tuzla,93,Kombi Doğalgaz,Hayır,1,2+1,0.0,1.0,Belirtilmemiş,390000
24,tuzla,120,Kombi Doğalgaz,Hayır,Yüksek giriş,3+1,4.0,1.0,Belirtilmemiş,350000
25,tuzla,140,Kombi Doğalgaz,Hayır,2,3+1,2.0,2.0,Boş,685000
26,tuzla,85,Kombi Doğalgaz,Hayır,Yüksek giriş,2+1,15.5,1.0,Belirtilmemiş,265000
27,tuzla,75,Kombi Doğalgaz,Hayır,2,2+1,15.5,1.0,Boş,209000
28,tuzla,350,Kombi Doğalgaz,Hayır,Villa tipi,5+1,0.0,3.0,Belirtilmemiş,1500000
29,tuzla,130,Kombi Doğalgaz,Evet,Yüksek giriş,3+1,3.0,1.0,Belirtilmemiş,490000
30,tuzla,39,Merkezi (Pay Ölçer),Hayır,Düz giriş,Stüdyo,7.5,1.0,Eşyalı,127000
31,tuzla,56,Kombi Doğalgaz,Hayır,4,1+1,7.5,1.0,Boş,167000
32,tuzla,256,Kombi Doğalgaz,Hayır,4,4+2,7.5,3.0,Boş,1150000
33,tuzla,150,Merkezi (Pay Ölçer),Hayır,4,3+1,0.0,2.0,Boş,850000
34,tuzla,500,Kombi Doğalgaz,Hayır,Villa tipi,5+2,0.0,5.0,Boş,1550000
35,tuzla,120,Merkezi (Pay Ölçer),Hayır,4,3+1,1.0,2.0,Boş,560000
36,tuzla,112,Merkezi (Pay Ölçer),Hayır,2,2+1,0.0,1.0,Belirtilmemiş,345000
37,tuzla,70,Kombi Doğalgaz,Evet,1,1+1,0.0,1.0,Belirtilmemiş,250000
38,tuzla,103,Kombi Doğalgaz,Hayır,5,2+1,2.0,1.0,Boş,298000
39,tuzla,180,Kombi Doğalgaz,Hayır,3,4+1,4.0,2.0,Boş,450000
40,tuzla,135,Kombi Doğalgaz,Hayır,2,3+1,0.0,2.0,Belirtilmemiş,530000
41,tuzla,200,Kombi Doğalgaz,Hayır,4,4+1,7.5,3.0,Belirtilmemiş,635000
42,tuzla,100,Kombi Doğalgaz,Hayır,2,2+1,0.0,1.0,Belirtilmemiş,350000
43,tuzla,150,Kombi Doğalgaz,Hayır,2,3+1,15.5,1.0,Boş,475000
44,tuzla,204,Kombi Doğalgaz,Hayır,Çatı Dubleks,4+1,0.0,3.0,Boş,800000
45,tuzla,90,Kombi Doğalgaz,Hayır,6,2+1,0.0,1.0,Belirtilmemiş,265000
46,tuzla,110,Kombi Doğalgaz,Hayır,2,2+1,1.0,1.0,Boş,420000
47,tuzla,99,Merkezi (Pay Ölçer),Hayır,Bahçe katı,2+1,1.0,1.0,Belirtilmemiş,270000
48,tuzla,250,Kombi Doğalgaz,Hayır,Çatı Dubleks,4+1,7.5,2.0,Boş,435000
49,tuzla,350,Kombi Doğalgaz,Evet,Villa tipi,6+1,7.5,4.0,Belirtilmemiş,2500000
50,tuzla,95,Kombi Doğalgaz,Hayır,1,1+1,7.5,1.0,Belirtilmemiş,295000
51,tuzla,100,Merkezi (Pay Ölçer),Hayır,3,2+1,0.0,1.0,Boş,310000
52,tuzla,130,Kombi Doğalgaz,Hayır,3,3+1,0.0,1.0,Belirtilmemiş,570000
53,tuzla,70,Merkezi (Pay Ölçer),Hayır,4,2+1,0.0,2.0,Boş,370000
54,tuzla,40,Merkezi (Pay Ölçer),Hayır,Bahçe katı,Stüdyo,7.5,1.0,Boş,115000
55,tuzla,130,Kombi Doğalgaz,Hayır,3,3+1,7.5,1.0,Boş,330000
56,tuzla,100,Kombi Doğalgaz,Hayır,Düz giriş,2+1,7.5,1.0,Boş,257000
57,tuzla,425,Isıtma yok,Hayır,Düz giriş,1,15.5,,Belirtilmemiş,1800000
58,tuzla,104,Merkezi (Pay Ölçer),Hayır,10,2+1,7.5,1.0,Boş,318000
59,tuzla,86,Merkezi Doğalgaz,Hayır,2,1+1,7.5,1.0,Boş,305000
0,umraniye,115,Kombi Doğalgaz,Hayır,5,3+1,7.5,1,Boş,
1,umraniye,135,Merkezi (Pay Ölçer),Hayır,10,3+2,0.0,1,Boş,720000.0
2,umraniye,88,Kombi Doğalgaz,Hayır,1,2+1,0.0,1,Eşyalı,385000.0
3,umraniye,115,Kombi Doğalgaz,Hayır,1,3+1,0.0,1,Boş,735000.0
4,umraniye,85,Kombi Doğalgaz,Hayır,Bahçe katı,2+1,0.0,1,Boş,370000.0
5,umraniye,65,Kombi Doğalgaz,Hayır,Düz giriş,1+1,0.0,1,Boş,250000.0
6,umraniye,115,Kombi Doğalgaz,Hayır,2,3+1,0.0,2,Boş,740000.0
7,umraniye,115,Kombi Doğalgaz,Hayır,1,3+1,0.0,2,Boş,735000.0
8,umraniye,90,Kombi Doğalgaz,Hayır,Bahçe katı,2+1,0.0,1,Boş,370000.0
9,umraniye,145,Kombi Doğalgaz,Hayır,2,3+1,4.0,2,Boş,650000.0
10,umraniye,80,Merkezi (Pay Ölçer),Hayır,1,2+1,0.0,1,Boş,365000.0
11,umraniye,100,Kombi Doğalgaz,Hayır,Yüksek giriş,2+1,7.5,1,Boş,485000.0
12,umraniye,80,Kombi Doğalgaz,Hayır,Bahçe katı,2+1,15.5,1,Boş,172500.0
13,umraniye,193,Kombi Doğalgaz,Hayır,Çatı Dubleks,6+1,2.0,3,Boş,800000.0
14,umraniye,90,Kombi Doğalgaz,Hayır,Yüksek giriş,2+1,7.5,1,Belirtilmemiş,309000.0
15,umraniye,183,Kombi Doğalgaz,Hayır,Çatı Dubleks,6+1,2.0,3,Boş,785000.0
16,umraniye,85,Kombi Doğalgaz,Hayır,Kot 1,2+1,0.0,1,Boş,370000.0
17,umraniye,140,Kombi Doğalgaz,Hayır,4,4+2,3.0,2,Belirtilmemiş,485000.0
18,umraniye,90,Kombi Doğalgaz,Hayır,2,2+1,2.0,2,Boş,285000.0
19,umraniye,140,Kombi Doğalgaz,Hayır,3,3+1,20.0,1,Boş,440000.0
20,umraniye,90,Kombi Doğalgaz,Hayır,5,2+1,15.5,1,Belirtilmemiş,307000.0
21,umraniye,80,Merkezi (Pay Ölçer),Hayır,6,1+1,4.0,1,Boş,305000.0
22,umraniye,85,Kombi Doğalgaz,Hayır,4,2+1,15.5,1,Boş,285000.0
23,umraniye,110,Kombi Doğalgaz,Hayır,2,3+1,0.0,1,Boş,445000.0
24,umraniye,88,Kombi Doğalgaz,Hayır,2,2+1,4.0,1,Boş,345000.0
25,umraniye,70,Merkezi (Pay Ölçer),Hayır,Yüksek giriş,1+1,0.0,1,Boş,325000.0
26,umraniye,180,Kombi Doğalgaz,Hayır,10,4+1,7.5,2,Boş,760000.0
27,umraniye,170,Kombi Doğalgaz,Hayır,8,4+1,7.5,2,Boş,820000.0
28,umraniye,130,Kombi Doğalgaz,Hayır,1,3+1,7.5,1,Boş,480000.0
29,umraniye,145,Kombi Doğalgaz,Hayır,1,3+1,4.0,2,Boş,550000.0
30,umraniye,135,Kombi Doğalgaz,Hayır,Çatı Katı,3+1,15.5,1,Belirtilmemiş,390000.0
31,umraniye,175,Kombi Doğalgaz,Hayır,3,3+1,15.5,1,Boş,390000.0
32,umraniye,70,Kombi Doğalgaz,Hayır,Kot 1,1+1,7.5,1,Boş,240000.0
33,umraniye,180,Kombi Doğalgaz,Hayır,6,5+1,20.0,2,Boş,750000.0
34,umraniye,330,Kombi Doğalgaz,Hayır,Düz giriş,5+2,7.5,4,Belirtilmemiş,3500000.0
35,umraniye,65,Kombi Doğalgaz,Hayır,Bahçe katı,1+1,7.5,1,Boş,150000.0
36,umraniye,190,Kombi Doğalgaz,Hayır,4,4+2,0.0,2,Boş,585000.0
37,umraniye,145,Kombi Doğalgaz,Hayır,6,3+1,15.5,1,Boş,550000.0
38,umraniye,110,Kombi Doğalgaz,Hayır,Düz giriş,2+1,7.5,1,Boş,470000.0
39,umraniye,148,Merkezi (Pay Ölçer),Hayır,5,3+1,1.0,2,Boş,939000.0
